name	cpu	memory	io	cpu	memory	io	cpu	memory	io	cpu	memory	io	cpu	memory	io	cpu
1	15	11	3	5	4	6	3	-6	1	3	0	2	2			
2	28	-10	17	30	19	17	12	15	39	2	-23	16	8			
3	19	9	18	6	22	19	24	17	20							
4	14	14	38	26	23	16	27	22	29	3	14	35	30			
5	5	-24	18	11	6	14	18	-15	50	24	-1	20	18			
6	7	17	41	2	3	25	18	9	55							
7	28	-9	36	23	16	33	29	1	5	22	-23	38	10			
8	20	9	15	8	-24	36	5	19	31	18	-21	19	26			
9	11	16	27	16	-17	48	2	21	47	5	22	16	37			
10	12	-3	13	23	16	11	29	-5	45	27	14	15	33			
11	2	11	7	16	9	14	14	-19	26	22	-22	19	28			
12	15	16	7	25	-18	32	7	-24	18	12	16	18	6			
13	13	13	28	30	-7	44	19	8	26	9	0	30	31			
14	15	-5	43	7	-18	10	8	-19	40	13	-5	22	27			
15	11	20	34	9	-10	30	27	-11	50	24	20	13	9			
16	10	22	38	16	21	41	5	5	20							
17	25	-9	13	25	9	13	8	20	17	22	-23	43	19	-16	22	22
18	2	0	10	22	23	40	11	1	22	11	-16	50	39			
19	23	-23	39	12	-5	35	11	18	32	10	-17	21	47			
20	30	24	46	5	11	29	20	-2	38	10	17	33	49			
21	29	14	16	5	-7	23	16	-7	30	16	0	12	24			
22	17	9	29	23	-24	38	18	-20	32	12	-23	36	19			
23	25	14	6	8	-15	9	30	-24	9	13	15	13	45			
24	3	-23	11	18	13	26	4	20	13	17	-6	46	28			
25	16	-13	34	19	9	39	7	-20	18	29	-10	27	11			
26	14	-7	9	25	-23	40	5	-7	8	26	20	24	32			
27	20	8	47	4	20	7	17	14	39	20	5	8	12			
28	18	25	6	15	-8	50	22	25	38	13	20	31	50			
29	20	-13	10	5	12	6	13	0	30	14	20	47	19			
30	3	-12	10	18	17	39	25	18	12	3	-8	50	30			
31	11	17	22	17	20	23	12	-19	49	17	6	6	36			
32	3	20	20	5	-7	42	16	-14	43	12	14	49	46			
33	24	15	37	11	-9	46	20	-18	31	23	9	35	36			
34	16	0	36	25	2	32	6	-24	18	25	13	43	28			
35	22	19	37	27	-19	26	12	12	7	22	-16	26	7			
36	16	16	12	6	-12	5	24	13	50	24	-5	17	26			
37	14	-17	26	12	20	27	26	17	36	5	-14	5	17			
38	15	13	33	30	13	46	26	3	19	24	-20	27	14			
39	24	-4	45	6	3	10	30	-10	6	12	-11	24	10			
40	26	1	19	19	-24	21	30	-9	31	26	-13	37	9			
41	6	16	35	30	0	10	5	20	29	21	-9	37	18			
42	23	-24	29	13	7	35	16	0	45	2	-11	14	11			
43	13	-17	18	28	22	39	29	-7	12	18	-8	29	6			
44	27	-18	31	15	10	12	20	-17	30	4	-17	30	19	0	22	5
45	5	20	18	9	-21	21	5	17	12	22	-15	8	44			
46	29	3	29	21	-19	18	8	-10	20	18	-21	19	39			
47	19	13	8	20	-22	24	25	-23	21	18	22	30	37			
48	23	-8	31	28	-2	11	23	25	41	4	22	15	48			
49	27	10	10	25	-24	7	20	-22	34	5	21	7	14			
50	4	19	21	6	13	50	17	-18	24	27	5	23	34			
